
Instancia;Problema;Fator h;ResultadoFO;Benchmark;Tempo Computacional
1;1;0.2;1936;1936;9.21e-05
1;1;0.4;1025;1025;4.41e-05
1;1;0.6;856;841;4.32e-05
1;1;0.8;818;818;0.0001228
1;2;0.2;1106;1042;4.66e-05
1;2;0.4;733;615;0.0001782
1;2;0.6;664;615;0.0001012
1;2;0.8;664;615;0.0001464
1;3;0.2;1731;1586;5.88e-05
1;3;0.4;968;917;5.96e-05
1;3;0.6;793;793;6.81e-05
1;3;0.8;793;793;0.0001138
1;4;0.2;2183;2139;7.67e-05
1;4;0.4;1251;1230;4.93e-05
1;4;0.6;815;815;4.96e-05
1;4;0.8;815;803;0.0001036
1;5;0.2;1211;1187;4.32e-05
1;5;0.4;920;630;3.93e-05
1;5;0.6;521;521;0.0001387
1;5;0.8;521;521;0.0002492
1;6;0.2;1592;1521;0.0001178
1;6;0.4;908;908;5.9e-05
1;6;0.6;755;755;7.25e-05
1;6;0.8;770;755;7.68e-05
1;7;0.2;2612;2170;4.33e-05
1;7;0.4;1662;1374;4.78e-05
1;7;0.6;1110;1101;6.73e-05
1;7;0.8;1237;1083;5.07e-05
1;8;0.2;1828;1720;6.3e-05
1;8;0.4;1024;1020;4.24e-05
1;8;0.6;628;610;4.19e-05
1;8;0.8;599;540;0.000107
1;9;0.2;1749;1574;5.84e-05
1;9;0.4;917;876;4.17e-05
1;9;0.6;674;582;0.0001416
1;9;0.8;562;554;6.12e-05
1;10;0.2;1913;1869;4.35e-05
1;10;0.4;1144;1136;6.29e-05
1;10;0.6;710;710;5.78e-05
1;10;0.8;671;671;0.0001855
2;1;0.2;4434;4431;0.0001384
2;1;0.4;3067;3066;0.0001037
2;1;0.6;3034;2986;0.0006759
2;1;0.8;3034;2986;0.0006711
2;2;0.2;8767;8567;0.0001435
2;2;0.4;4847;4897;0.0001389
2;2;0.6;3360;3260;0.0001379
2;2;0.8;3382;2980;0.0001293
2;3;0.2;6320;6331;0.0001348
2;3;0.4;3874;3883;0.0001269
2;3;0.6;3583;3600;0.0004509
2;3;0.8;3583;3600;0.0004045
2;4;0.2;9356;9478;0.0001519
2;4;0.4;5137;5122;0.0001261
2;4;0.6;3326;3336;0.0001188
2;4;0.8;3385;3040;0.000143
2;5;0.2;4340;4340;9.33e-05
2;5;0.4;2735;2571;0.0001137
2;5;0.6;2173;2206;0.0005696
2;5;0.8;2173;2206;0.0006381
2;6;0.2;6660;6766;0.00014
2;6;0.4;3582;3601;0.0002204
2;6;0.6;3028;3016;0.0002712
2;6;0.8;4086;3016;0.0001629
2;7;0.2;11367;11101;0.0001312
